wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1065.9900,0,0.072729,5.3608e-08,3.7958,3.8685
1065.9999,0,0.5091,5.4272e-08,3.863,4.3721
1066.0098,0,0.58183,5.4937e-08,3.8726,4.4544
1066.0197,0,0.58183,5.5601e-08,3.8721,4.4539
1066.0296,0,0.58183,5.6265e-08,3.8716,4.4534
1066.0395,0,0.58183,5.693e-08,3.8711,4.4529
1066.0494,0,0.58183,5.7594e-08,3.8706,4.4524
1066.0593,0,0.58183,5.8258e-08,3.8701,4.452
1066.0692,0,0.58183,5.8922e-08,3.8696,4.4515
1066.0791,0,0.58183,5.9579e-08,3.8691,4.451
1066.0890,0,0.58183,6.0223e-08,3.8687,4.4505
1066.0989,0,0.58183,6.0855e-08,3.8682,4.45
1066.1088,0,0.58183,6.1473e-08,3.8677,4.4495
1066.1187,0,0.58183,6.2079e-08,3.8672,4.449
1066.1286,0,0.58183,6.2671e-08,3.8667,4.4485
1066.1385,0,0.58183,6.325e-08,3.8662,4.4481
1066.1484,0,0.58183,6.3816e-08,3.8657,4.4476
1066.1583,0,0.58183,6.4369e-08,3.8652,4.4471
1066.1682,0,0.58183,6.4909e-08,3.8648,4.4466
1066.1781,0,0.58183,6.5436e-08,3.8643,4.4461
1066.1880,0,0.58183,6.595e-08,3.8638,4.4456
1066.1979,0,0.58183,6.645e-08,3.8633,4.4451
1066.2078,0,0.58183,6.6937e-08,3.8628,4.4446
1066.2177,0,0.58183,6.7412e-08,3.8623,4.4441
1066.2276,0,0.58183,6.7873e-08,3.8618,4.4437
1066.2375,0,0.58183,6.8321e-08,3.8613,4.4432
1066.2474,0,0.58183,6.8755e-08,3.8609,4.4427
1066.2573,0,0.58183,6.9177e-08,3.8604,4.4422
1066.2672,0,0.58183,6.9586e-08,3.8599,4.4417
1066.2771,0,0.58183,6.9981e-08,3.8594,4.4412
1066.2870,0,0.58183,7.0363e-08,3.8589,4.4407
1066.2969,0,0.58183,7.0733e-08,3.8584,4.4403
1066.3068,0,0.58183,7.1089e-08,3.8579,4.4398
1066.3167,0,0.58183,7.1431e-08,3.8574,4.4393
1066.3266,0,0.58183,7.1761e-08,3.857,4.4388
1066.3365,0,0.58183,7.2078e-08,3.8565,4.4383
1066.3464,0,0.58183,7.2381e-08,3.856,4.4378
1066.3563,0,0.58183,7.2671e-08,3.8555,4.4373
1066.3662,0,0.58183,7.2949e-08,3.855,4.4368
1066.3761,0,0.58183,7.3212e-08,3.8545,4.4364
1066.3860,0,0.58183,7.3463e-08,3.854,4.4359
1066.3959,0,0.58183,7.3701e-08,3.8536,4.4354
1066.4058,0,0.58183,7.3925e-08,3.8531,4.4349
1066.4157,0,0.58183,7.4137e-08,3.8526,4.4344
1066.4256,0,0.58183,7.4335e-08,3.8521,4.4339
1066.4355,0,0.58183,7.452e-08,3.8516,4.4334
1066.4454,0,0.58183,7.4691e-08,3.8511,4.4329
1066.4553,0,0.58183,7.485e-08,3.8506,4.4325
1066.4652,0,0.58183,7.4996e-08,3.8501,4.432
1066.4751,0,0.58183,7.5128e-08,3.8497,4.4315
1066.4850,0,0.58183,7.5247e-08,3.8492,4.431
1066.4949,0,0.58183,7.5354e-08,3.8487,4.4305
1066.5048,0,0.58183,7.5447e-08,3.8482,4.43
1066.5147,0,0.58183,7.5527e-08,3.8477,4.4295
1066.5246,0,0.58183,7.5593e-08,3.8472,4.4291
1066.5345,0,0.58183,7.5647e-08,3.8468,4.4286
1066.5444,0,0.58183,7.5687e-08,3.8463,4.4281
1066.5543,0,0.58183,7.5715e-08,3.8458,4.4276
